geo,year,country,recycling_rate,waste_generated_kg_pc,landfill_kg_pc,incineration_kg_pc,material_recycling_kg_pc,compost_digest_kg_pc,circular_material_use_rate,resource_productivity,environmental_tax_gdp,gdp_pc_eur,household_consumption_pc_eur,population_density,landfill_rate_proxy,incineration_rate_proxy,material_recycling_rate_proxy,compost_digest_rate_proxy,recycling_rate_lag1,recycling_rate_lag2,waste_generated_kg_pc_lag1,waste_generated_kg_pc_lag2,landfill_rate_proxy_lag1,landfill_rate_proxy_lag2,incineration_rate_proxy_lag1,incineration_rate_proxy_lag2,material_recycling_rate_proxy_lag1,material_recycling_rate_proxy_lag2,compost_digest_rate_proxy_lag1,compost_digest_rate_proxy_lag2,circular_material_use_rate_lag1,circular_material_use_rate_lag2,resource_productivity_lag1,resource_productivity_lag2,environmental_tax_gdp_lag1,environmental_tax_gdp_lag2,gdp_pc_eur_lag1,gdp_pc_eur_lag2,household_consumption_pc_eur_lag1,household_consumption_pc_eur_lag2,population_density_lag1,population_density_lag2,recycling_rate_trend_3y,landfill_rate_trend_3y,incineration_rate_trend_3y,ec_eea_2025_risk_label
PL,2018,Poland,34.3,329.0,137.0,79.0,86.0,27.0,10.5,0.7097,2.67,13280,7840,123.6,41.641337386018236,24.012158054711247,26.13981762917933,8.206686930091186,33.8,34.8,315.0,307.0,41.904761904761905,45.60260586319218,24.444444444444443,19.54397394136808,26.666666666666668,27.68729641693811,6.984126984126984,6.840390879478828,10.4,10.6,0.6853,0.6937,2.67,2.7,12360.0,11270.0,7380.0,6660.0,123.6,123.6,0.5999999999999991,-4.184822269928652,3.57514825599932,1
PL,2019,Poland,34.1,336.0,145.0,77.0,84.0,30.0,9.2,0.7798,2.52,14190,8210,123.6,43.154761904761905,22.916666666666668,25.0,8.928571428571429,34.3,33.8,329.0,315.0,41.641337386018236,41.904761904761905,24.012158054711247,24.444444444444443,26.13981762917933,26.666666666666668,8.206686930091186,6.984126984126984,10.5,10.4,0.7097,0.6853,2.67,2.67,13280.0,12360.0,7840.0,7380.0,123.6,123.6,-0.23333333333333192,-0.8159479861434255,1.1242309084328628,1
PL,2020,Poland,38.7,350.0,139.0,75.0,93.0,42.0,7.4,0.7733,2.52,14310,8120,123.6,39.714285714285715,21.428571428571427,26.571428571428573,12.0,34.1,34.3,336.0,329.0,43.154761904761905,41.641337386018236,22.916666666666668,24.012158054711247,25.0,26.13981762917933,8.928571428571429,8.206686930091186,9.2,10.5,0.7798,0.7097,2.52,2.67,14190.0,13280.0,8210.0,7840.0,123.6,123.6,1.6333333333333353,-0.7301587301587299,-1.0052910052910053,1
PL,2021,Poland,40.3,370.0,143.0,78.0,100.0,49.0,7.0,0.808,2.88,15770,8900,123.4,38.648648648648646,21.08108108108108,27.027027027027028,13.243243243243244,38.7,34.1,350.0,336.0,39.714285714285715,43.154761904761905,21.428571428571427,22.916666666666668,26.571428571428573,25.0,12.0,8.928571428571429,7.4,9.2,0.7733,0.7798,2.52,2.52,14310.0,14190.0,8120.0,8210.0,123.6,123.6,2.0,-0.9975629124565302,-0.9770256578767219,1
PL,2022,Poland,40.9,364.0,139.0,77.0,97.0,52.0,6.7,0.8515,2.78,17520,10180,119.8,38.18681318681319,21.153846153846153,26.64835164835165,14.285714285714286,40.3,38.7,370.0,350.0,38.648648648648646,39.714285714285715,21.08108108108108,21.428571428571427,27.027027027027028,26.571428571428573,13.243243243243244,12.0,7.0,7.4,0.808,0.7733,2.88,2.52,15770.0,14310.0,8900.0,8120.0,123.4,123.6,2.2666666666666657,-1.6559829059829052,-0.5876068376068382,1
PL,2023,Poland,27.6,367.0,111.0,76.0,58.0,43.0,7.8,0.9048,3.42,19980,11520,119.4,30.245231607629428,20.708446866485012,15.803814713896458,11.716621253405995,40.9,40.3,364.0,370.0,38.18681318681319,38.648648648648646,21.153846153846153,21.08108108108108,26.64835164835165,27.027027027027028,14.285714285714286,13.243243243243244,6.7,7.0,0.8515,0.808,2.78,2.88,17520.0,15770.0,10180.0,8900.0,119.8,123.4,-3.7000000000000006,-3.156351368885429,-0.24004152069547166,1
PT,2005,Portugal,15.2,452.0,283.0,101.0,39.0,30.0,,0.9283,2.89,15100,9740,114.0,62.610619469026545,22.345132743362832,8.628318584070797,6.6371681415929205,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PT,2006,Portugal,15.9,465.0,299.0,93.0,45.0,29.0,,0.8316,2.79,15800,10220,114.3,64.3010752688172,20.0,9.67741935483871,6.236559139784946,15.2,,452.0,,62.610619469026545,,22.345132743362832,,8.628318584070797,,6.6371681415929205,,,,0.9283,,2.89,,15100.0,,9740.0,,114.0,,,,,1
PT,2007,Portugal,17.1,471.0,301.0,90.0,50.0,30.0,,0.8212,2.75,16640,10800,114.5,63.90658174097665,19.10828025477707,10.615711252653927,6.369426751592357,15.9,15.2,465.0,452.0,64.3010752688172,62.610619469026545,20.0,22.345132743362832,9.67741935483871,8.628318584070797,6.236559139784946,6.6371681415929205,,,0.8316,0.9283,2.79,2.89,15800.0,15100.0,10220.0,9740.0,114.3,114.0,,,,1
PT,2008,Portugal,17.3,518.0,334.0,94.0,54.0,36.0,,0.7881,2.5,16960,11250,114.6,64.47876447876448,18.146718146718147,10.424710424710424,6.94980694980695,17.1,15.9,471.0,465.0,63.90658174097665,64.3010752688172,19.10828025477707,20.0,10.615711252653927,9.67741935483871,6.369426751592357,6.236559139784946,,,0.8212,0.8316,2.75,2.79,16640.0,15800.0,10800.0,10220.0,114.5,114.3,0.7000000000000005,0.6227150032459766,-1.3994715322148952,1
